scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,std_dev,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,composite_return,rari,net_return,fund_size_category,return_consistency,cluster,risk_cluster_label,investment_score,positive_1yr,rank_by_score,rank_by_return,rank_by_sharpe,is_top50
DSP US Flexible Equity Fund,500,500,1.52,770.0,10,Jay Kothari,1.95,1.855,16.4,0.86,1.1,6,DSP Mutual Fund,0,Other,FoFs Overseas,2.2,23.8,13.6,14.89,0.9079268292682928,13.37,Mid (500–5K Cr),62.68777890357068,0,📈 High Return / Moderate Risk,40.29,True,380,216,524,False
DSP World Gold Fund,500,500,1.81,777.0,10,Jay Kothari,1.11,1.855,36.51,0.86,0.4,6,DSP Mutual Fund,0,Other,FoFs Overseas,-9.0,14.8,10.2,7.97,0.2182963571624212,6.16,Mid (500–5K Cr),60.869017868018936,0,📈 High Return / Moderate Risk,15.63,False,811,507,743,False
DSP World Mining Fund,500,500,1.5,188.0,10,Jay Kothari,1.68,1.855,28.33,0.86,1.08,6,DSP Mutual Fund,0,Other,FoFs Overseas,-5.4,37.1,15.0,18.655,0.6584892340275327,17.155,Small (<500 Cr),52.23766711965023,0,📈 High Return / Moderate Risk,42.67,False,332,88,534,False
Edelweiss Aggressive Hybrid Fund,500,5000,0.36,469.0,10,Bharat Lahoti,3.83,5.57,11.66,0.79,1.72,6,Edelweiss Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,6.5,24.6,13.0,15.760000000000002,1.3516295025728988,15.400000000000002,Small (<500 Cr),64.32436362322669,0,📈 High Return / Moderate Risk,60.15,True,97,180,121,False
Edelweiss Arbitrage Fund,500,5000,0.37,5393.0,9,Bhavesh Jain,1.61,1.78,0.72,0.63,1.31,1,Edelweiss Mutual Fund,5,Hybrid,Arbitrage Mutual Funds,5.8,5.0,5.7,5.475,7.604166666666666,5.105,Large (5K–20K Cr),73.0574431366087,1,⭐ High Return / Low Risk,33.67,True,558,730,375,False
Edelweiss Balanced Advantage Fund,500,5000,0.51,8780.0,10,Bhavesh Jain,3.31,2.1,9.71,0.67,1.48,6,Edelweiss Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,2.9,18.5,12.0,12.455,1.2826982492276002,11.945,Large (5K–20K Cr),65.65730512561854,0,📈 High Return / Moderate Risk,47.87,True,258,344,241,False
Edelweiss Banking & Psu Debt Fund,500,5000,0.26,355.0,10,Dhawal Dalal,0.78,6.29,3.68,3.18,0.55,3,Edelweiss Mutual Fund,2,Debt,Banking and PSU Mutual Funds,3.5,6.9,7.9,6.67,1.8125,6.41,Small (<500 Cr),71.1868205120286,1,⭐ High Return / Low Risk,32.83,True,587,580,707,False
Edelweiss Equity Savings Fund,500,5000,0.7,258.0,8,Bharat Lahoti,3.22,2.41,5.29,0.79,1.53,4,Edelweiss Mutual Fund,5,Hybrid,Equity Savings Mutual Funds,4.4,12.1,9.0,9.165,1.7325141776937616,8.465,Small (<500 Cr),69.61905890540065,1,⭐ High Return / Low Risk,38.79,True,411,477,207,False
Edelweiss Europe Dynamic Equity Offshore – Dir Growth,500,5000,1.5,83.0,9,Bhavesh Jain,1.64,1.855,19.12,0.86,0.93,6,Edelweiss Mutual Fund,0,Other,FoFs Overseas,9.2,25.2,7.6,14.079999999999998,0.7364016736401673,12.579999999999998,Small (<500 Cr),63.76091298248561,0,📈 High Return / Moderate Risk,39.6,True,398,262,611,False
Edelweiss Flexi Cap Fund,500,5000,0.56,1056.0,8,Trideep Bhattacharya,3.41,1.91,16.02,0.92,1.46,6,Edelweiss Mutual Fund,3,Equity,Flexi Cap Funds,1.9,27.5,12.1,15.45,0.9644194756554308,14.89,Mid (500–5K Cr),60.60561277742943,0,📈 High Return / Moderate Risk,56.25,True,133,191,260,False
Edelweiss Govt Securities Fund,500,5000,0.66,119.0,9,Dhawal Dalal,1.63,1.77,2.77,0.61,0.88,3,Edelweiss Mutual Fund,5,Debt,Gilt Mutual Funds,4.3,6.8,8.2,6.93,2.501805054151625,6.27,Small (<500 Cr),71.5176474959311,1,⭐ High Return / Low Risk,28.94,True,694,556,633,False
Edelweiss Greater China Equity Off-Shore Fund,500,5000,1.44,1897.0,10,Bhavesh Jain,0.6,1.855,25.75,0.86,0.3,6,Edelweiss Mutual Fund,0,Other,FoFs Overseas,-4.1,9.0,6.1,5.075,0.1970873786407767,3.635,Mid (500–5K Cr),66.61268383678541,1,⭐ High Return / Low Risk,12.82,False,813,769,760,False
Edelweiss Large & Mid Cap Fund,500,5000,0.6,1711.0,10,Abhishek Gupta,3.56,2.77,15.87,0.9,1.47,6,Edelweiss Mutual Fund,4,Equity,Large & Mid Cap Funds,1.2,27.8,13.2,15.91,1.0025204788909894,15.31,Mid (500–5K Cr),60.17217192040887,0,📈 High Return / Moderate Risk,56.94,True,120,177,248,False
Edelweiss Large Cap Fund,500,5000,0.93,399.0,10,Bharat Lahoti,3.25,0.95,15.71,0.93,1.4,6,Edelweiss Mutual Fund,4,Equity,Large Cap Mutual Funds,4.9,26.0,12.8,15.84,1.008274984086569,14.91,Small (<500 Cr),62.83297031042959,0,📈 High Return / Moderate Risk,50.7,True,209,178,304,False
Edelweiss Liquid Fund,500,5000,0.15,1543.0,10,Rahul Dedhia,6.74,1.47,0.38,0.8,1.08,3,Edelweiss Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.4,5.4,5.09,13.394736842105262,4.94,Mid (500–5K Cr),72.8504229802299,1,⭐ High Return / Low Risk,35.14,True,503,765,534,False
Edelweiss Long Term Equity Fund,500,500,0.69,209.0,10,Trideep Bhattacharya,3.18,0.61,15.73,0.9,1.39,6,Edelweiss Mutual Fund,3,Equity,ELSS Mutual Funds,0.9,25.6,10.2,13.73,0.8728544183089637,13.04,Small (<500 Cr),61.018424881668295,0,📈 High Return / Moderate Risk,50.8,True,208,276,318,False
Edelweiss Mid Cap Fund,500,5000,0.57,2530.0,10,Trideep Bhattacharya,3.85,2.21,17.63,0.96,1.73,6,Edelweiss Mutual Fund,4,Equity,Mid Cap Mutual Funds,4.9,35.5,14.0,19.705,1.11769710720363,19.135,Mid (500–5K Cr),57.78017506277147,0,📈 High Return / Moderate Risk,67.79,True,48,65,118,True
Edelweiss Money Market Fund,500,5000,0.26,346.0,10,Dhawal Dalal,2.05,2.56,0.6,1.45,1.03,2,Edelweiss Mutual Fund,1,Debt,Money Market Funds,4.9,4.7,7.3,5.91,9.85,5.65,Small (<500 Cr),72.04649740334871,1,⭐ High Return / Low Risk,34.15,True,539,687,553,False
Edelweiss Overnight Fund,500,5000,0.1,480.0,4,Rahul Dedhia,0.08,0.63,0.33,0.47,0.01,1,Edelweiss Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.9,8.9,6.43,19.484848484848484,6.33,Small (<500 Cr),70.91392741467568,1,⭐ High Return / Low Risk,30.56,True,649,627,792,False
Edelweiss Recently Listed IPO Fund,500,5000,0.61,859.0,5,Bhavesh Jain,1.63,0.04,17.77,0.83,1.09,6,Edelweiss Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-13.8,24.3,10.9,10.65,0.5993247045582442,10.04,Mid (500–5K Cr),54.16606386707586,0,📈 High Return / Moderate Risk,36.46,False,466,429,529,False
Edelweiss Small Cap Fund,500,5000,0.6,1458.0,4,Sahil Shah,4.17,8.58,17.99,0.81,1.98,6,Edelweiss Mutual Fund,4,Equity,Small Cap Mutual Funds,3.0,42.5,8.9,19.48,1.0828237909949971,18.879999999999995,Mid (500–5K Cr),52.185979057901406,0,📈 High Return / Moderate Risk,76.93,True,19,71,31,True
Edelweiss US Value Equity Offshore Fund,500,5000,1.43,90.0,10,Bhavesh Jain,2.17,1.855,16.38,0.86,1.03,6,Edelweiss Mutual Fund,0,Other,FoFs Overseas,2.0,23.8,11.5,13.905,0.848901098901099,12.475,Small (<500 Cr),62.563404699389245,0,📈 High Return / Moderate Risk,39.88,True,390,268,553,False
Franklin Build India Fund,500,5000,1.3,1184.0,10,Ajay Argal,3.18,8.05,19.06,0.71,1.6,6,Franklin Templeton Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,16.0,36.1,13.3,21.82,1.144805876180483,20.52,Mid (500–5K Cr),61.035805186322,0,📈 High Return / Moderate Risk,64.17,True,62,27,162,False
Franklin India Banking & PSU Debt Fund,500,5000,0.16,712.0,9,Umesh Sharma,1.06,3.72,1.74,1.87,0.7,2,Franklin Templeton Mutual Fund,2,Debt,Banking and PSU Mutual Funds,4.2,6.1,7.2,6.215,3.57183908045977,6.055,Mid (500–5K Cr),71.97565937258513,1,⭐ High Return / Low Risk,33.18,True,578,662,680,False
Franklin India Bluechip Fund,500,5000,1.01,6205.0,10,Anand Radhakrishnan,2.72,0.71,16.83,0.92,1.28,6,Franklin Templeton Mutual Fund,2,Equity,Large Cap Mutual Funds,-1.0,25.1,9.7,12.95,0.7694592988710637,11.94,Large (5K–20K Cr),60.37299258822526,0,📈 High Return / Moderate Risk,36.46,False,466,322,432,False
Franklin India Corporate Debt Fund,500,10000,0.21,748.0,10,Santosh Kamath,1.65,1.68,1.8,0.56,1.02,2,Franklin Templeton Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.4,6.3,7.0,6.234999999999999,3.463888888888889,6.025,Mid (500–5K Cr),72.14797062625539,1,⭐ High Return / Low Risk,33.94,True,550,656,559,False
Franklin India Debt Hybrid Fund,500,10000,0.57,246.0,10,Rajasa Kakulavarapu,2.98,1.26,3.89,0.59,1.42,4,Franklin Templeton Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,5.1,9.8,7.0,7.6,1.953727506426735,7.029999999999999,Small (<500 Cr),71.12901494745537,1,⭐ High Return / Low Risk,35.89,True,480,517,290,False
Franklin India Dynamic Asset Allocation FoFs-Dir-G,500,5000,0.46,1103.0,10,Rajasa Kakulavarapu,1.87,8.57,10.19,0.3,1.39,4,Franklin Templeton Mutual Fund,3,Other,FoFs Domestic,5.9,18.2,9.2,11.689999999999998,1.1472031403336602,11.229999999999997,Mid (500–5K Cr),67.12701541400396,0,📈 High Return / Moderate Risk,49.89,True,218,374,318,False
Franklin India Equity Advantage Fund,500,5000,1.37,2556.0,10,R Janakiraman,3.41,2.99,17.49,0.96,1.43,6,Franklin Templeton Mutual Fund,2,Equity,Large & Mid Cap Funds,-0.9,27.7,9.2,13.654999999999998,0.7807318467695825,12.284999999999997,Mid (500–5K Cr),58.98919569018996,0,📈 High Return / Moderate Risk,37.02,False,450,278,280,False
Franklin India Equity Hybrid Fund,500,5000,1.2,1347.0,10,Rajasa Kakulavarapu,3.24,3.49,12.1,0.8,1.51,6,Franklin Templeton Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,5.3,22.5,11.0,13.884999999999998,1.1475206611570246,12.685,Mid (500–5K Cr),64.73186435651478,0,📈 High Return / Moderate Risk,45.44,True,297,272,221,False
Franklin India Equity Savings Fund,500,5000,0.71,153.0,5,Rajasa Kakulavarapu,3.01,3.39,6.61,0.94,1.53,3,Franklin Templeton Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,4.8,14.0,8.9,9.864999999999998,1.492435703479576,9.154999999999998,Small (<500 Cr),68.88428396056511,1,⭐ High Return / Low Risk,41.08,True,363,457,207,False
Franklin India Feeder – Franklin U.S. Opp.-Dir Growth,500,5000,0.72,2880.0,10,Sandeep Manam,0.95,1.855,23.08,0.86,0.5,6,Franklin Templeton Mutual Fund,0,Other,FoFs Overseas,-12.1,17.4,11.6,8.889999999999999,0.3851819757365684,8.169999999999998,Mid (500–5K Cr),57.86440685757089,0,📈 High Return / Moderate Risk,27.74,False,721,488,713,False
Franklin India Flexi Cap Fund,500,5000,1.1,9989.0,10,Anand Radhakrishnan,3.27,4.83,16.63,0.93,1.6,6,Franklin Templeton Mutual Fund,4,Equity,Flexi Cap Funds,3.8,31.1,12.0,17.045,1.02495490078172,15.945000000000002,Large (5K–20K Cr),59.48535911132208,0,📈 High Return / Moderate Risk,56.8,True,122,132,162,False
Franklin India Floating Rate Fund,500,1000,0.21,311.0,10,Pallab Roy,2.6,2.33,0.84,0.75,1.58,2,Franklin Templeton Mutual Fund,4,Debt,Floater Mutual Funds,5.8,5.6,6.2,5.91,7.035714285714287,5.7,Small (<500 Cr),73.18782798463236,1,⭐ High Return / Low Risk,38.12,True,424,687,175,False
Franklin India Focused Equity Fund,500,5000,1.16,8022.0,10,Ajay Argal,3.17,3.6,18.62,0.98,1.43,6,Franklin Templeton Mutual Fund,4,Equity,Focused Funds,5.1,30.9,12.9,17.64,0.9473684210526316,16.48,Large (5K–20K Cr),60.26155310534429,0,📈 High Return / Moderate Risk,54.83,True,155,116,280,False
Franklin India G-Sec Fund,500,10000,0.57,121.0,10,Sachin Padwal Desai,0.04,-0.49,2.35,0.52,0.04,3,Franklin Templeton Mutual Fund,2,Debt,Gilt Mutual Funds,3.5,4.1,6.3,4.97,2.114893617021276,4.4,Small (<500 Cr),72.01911007179636,1,⭐ High Return / Low Risk,19.43,True,797,789,785,False
Franklin India Liquid Fund,500,10000,0.13,1511.0,10,Pallab Roy,4.44,1.34,0.38,0.74,0.9,2,Franklin Templeton Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.4,5.055,13.302631578947368,4.925,Mid (500–5K Cr),72.79333303096276,1,⭐ High Return / Low Risk,33.97,True,549,772,626,False
Franklin India Multi-Asset Solution Fund,500,5000,0.44,45.0,8,Rajasa Kakulavarapu,0.34,5.14,12.82,-0.01,0.39,4,Franklin Templeton Mutual Fund,1,Other,FoFs Domestic,4.1,8.7,5.3,6.249999999999999,0.4875195007800311,5.809999999999999,Small (<500 Cr),71.10726234187298,1,⭐ High Return / Low Risk,29.84,True,669,653,744,False
Franklin India NSE Nifty 50 Index Fund,500,5000,0.24,482.0,10,Varun Sharma,3.44,-0.79,16.58,0.99,1.3,6,Franklin Templeton Mutual Fund,3,Other,Index Funds,0.9,25.6,11.6,14.36,0.8661037394451147,14.12,Small (<500 Cr),61.10664662983029,0,📈 High Return / Moderate Risk,54.98,True,151,251,387,False
Franklin India Opportunities Fund,500,5000,1.79,657.0,10,R Janakiraman,3.45,4.7,16.65,0.92,1.58,6,Franklin Templeton Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,7.9,31.0,11.5,17.605,1.0573573573573574,15.815,Mid (500–5K Cr),61.06473697187386,0,📈 High Return / Moderate Risk,49.62,True,220,118,175,False
Franklin India Overnight Fund,500,5000,0.1,152.0,4,Pallab Roy,-0.89,0.49,0.35,0.41,-0.18,1,Franklin Templeton Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.8,8.9,6.395,18.27142857142857,6.295,Small (<500 Cr),70.87226454654653,1,⭐ High Return / Low Risk,29.53,True,678,634,807,False
Franklin India Prima Fund,500,5000,1.06,7359.0,10,R Janakiraman,3.06,-4.41,17.67,0.96,1.36,6,Franklin Templeton Mutual Fund,2,Equity,Mid Cap Mutual Funds,4.5,26.6,10.0,14.71,0.8324844368986983,13.65,Large (5K–20K Cr),61.98811682265098,0,📈 High Return / Moderate Risk,45.87,True,285,227,344,False
Franklin India Savings Fund,500,10000,0.1,1084.0,10,Umesh Sharma,3.34,2.67,0.63,1.29,1.5,2,Franklin Templeton Mutual Fund,3,Debt,Money Market Funds,5.3,5.2,6.1,5.625,8.928571428571429,5.525,Mid (500–5K Cr),73.00004474473114,1,⭐ High Return / Low Risk,38.9,True,409,720,232,False
Franklin India Smaller Companies Fund,500,5000,1.03,7308.0,10,R Janakiraman,3.36,7.03,17.83,0.81,1.91,6,Franklin Templeton Mutual Fund,2,Equity,Small Cap Mutual Funds,10.5,38.8,11.2,20.72,1.1620863712843523,19.69,Large (5K–20K Cr),57.35259781433359,0,📈 High Return / Moderate Risk,69.6,True,43,42,52,True
Franklin India Taxshield – Direct Growth,500,500,1.12,4584.0,10,R Janakiraman,3.21,2.88,16.91,0.95,1.49,6,Franklin Templeton Mutual Fund,3,Equity,ELSS Mutual Funds,4.9,29.3,11.4,16.365,0.9677705499704315,15.244999999999996,Mid (500–5K Cr),60.857273518598944,0,📈 High Return / Moderate Risk,53.0,True,181,160,237,False
Franklin India Technology Fund,500,5000,1.22,712.0,10,Anand Radhakrishnan,1.91,3.66,19.22,0.73,1.24,6,Franklin Templeton Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-11.9,29.9,15.9,15.239999999999998,0.7929240374609781,14.019999999999998,Mid (500–5K Cr),52.21705516099688,0,📈 High Return / Moderate Risk,39.98,False,384,199,466,False
HDFC Arbitrage Fund,100,100,0.43,5886.0,9,Arun Agarwal,0.99,1.24,0.7,0.5,0.82,1,HDFC Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.6,4.5,5.2,5.035,7.192857142857144,4.605,Large (5K–20K Cr),72.93655659467976,1,⭐ High Return / Low Risk,28.64,True,699,776,653,False
HDFC Balanced Advantage Fund,100,100,0.88,51042.0,10,Gopal Agrawal,3.38,7.38,14.82,0.88,1.6,6,HDFC Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,14.4,29.3,12.9,18.94,1.2780026990553306,18.06,Giant (>20K Cr),64.42672763901295,0,📈 High Return / Moderate Risk,60.88,True,91,81,162,False
HDFC Banking and PSU Debt Fund,100,100,0.39,4805.0,9,Anil Bamboli,1.74,3.4,2.02,1.06,0.98,2,HDFC Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.3,6.8,7.2,6.48,3.207920792079208,6.090000000000001,Mid (500–5K Cr),71.92170966641258,1,⭐ High Return / Low Risk,33.06,True,579,605,584,False
HDFC Capital Builder Value Fund,100,100,1.04,5227.0,10,Gopal Agrawal,3.26,3.69,16.41,0.95,1.53,6,HDFC Mutual Fund,2,Equity,Value Funds,-0.7,33.7,11.3,16.740000000000002,1.020109689213894,15.700000000000005,Large (5K–20K Cr),56.03328339376719,0,📈 High Return / Moderate Risk,46.43,False,277,145,207,False
HDFC Children’s Gift Fund,100,100,0.96,6157.0,10,Chirag Setalvad,4.11,7.62,11.58,0.76,1.87,6,HDFC Mutual Fund,0,Solution Oriented,Childrens Funds,10.5,26.8,12.9,17.285,1.4926597582037997,16.325,Large (5K–20K Cr),64.69314363906139,0,📈 High Return / Moderate Risk,58.66,True,111,128,66,False
HDFC Corporate Bond Fund,100,100,0.32,23486.0,10,Anupam Joshi,1.59,1.91,2.19,0.94,0.99,3,HDFC Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.1,6.9,7.3,6.52,2.9771689497716896,6.199999999999999,Giant (>20K Cr),71.7497734535465,1,⭐ High Return / Low Risk,33.23,True,575,598,576,False
HDFC Credit Risk Debt Fund,100,100,0.95,8437.0,9,Shobhit Mehrotra,1.5,2.63,2.56,-0.52,1.3,4,HDFC Mutual Fund,3,Debt,Credit Risk Funds,4.6,8.0,7.7,7.1850000000000005,2.806640625,6.235,Large (5K–20K Cr),71.61095864383003,1,⭐ High Return / Low Risk,30.19,True,657,535,387,False
HDFC Dynamic Debt Fund,100,100,0.49,527.0,10,Anil Bamboli,2.3,2.71,3.62,0.55,0.79,3,HDFC Mutual Fund,4,Debt,Dynamic Bond,4.6,7.3,6.1,6.22,1.718232044198895,5.73,Mid (500–5K Cr),72.14055810511589,1,⭐ High Return / Low Risk,30.12,True,659,659,660,False
HDFC Dynamic PE Ratio Fund,100,100,0.22,30.0,10,Srinivasan Ramamurthy,4.11,6.38,9.63,0.6,1.8,5,HDFC Mutual Fund,4,Other,FoFs Domestic,8.6,21.9,11.1,14.38,1.4932502596053996,14.159999999999998,Small (<500 Cr),66.42485841946889,0,📈 High Return / Moderate Risk,59.4,True,105,250,87,False
HDFC Equity Savings Fund,100,100,1.1,2524.0,10,Anil Bamboli,3.67,4.42,7.09,0.98,1.61,4,HDFC Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,5.1,16.0,8.8,10.58,1.4922425952045135,9.48,Mid (500–5K Cr),67.9504697516338,0,📈 High Return / Moderate Risk,39.99,True,383,431,153,False
HDFC Flexi Cap Fund,100,100,1.0,31672.0,10,Roshi Jain,3.4,5.15,18.4,1.0,1.56,6,HDFC Mutual Fund,4,Equity,Flexi Cap Funds,12.4,34.5,14.0,20.855,1.1334239130434784,19.855,Giant (>20K Cr),61.16977834897266,0,📈 High Return / Moderate Risk,63.74,True,63,39,190,False
HDFC Floating Rate Debt Fund,100,100,0.26,14785.0,10,Shobhit Mehrotra,3.33,3.39,1.24,0.9,1.76,3,HDFC Mutual Fund,4,Debt,Floater Mutual Funds,5.6,6.5,6.9,6.5,5.241935483870968,6.24,Large (5K–20K Cr),72.82750021911482,1,⭐ High Return / Low Risk,39.98,True,384,601,103,False
HDFC Focused 30 Fund,100,100,0.54,3609.0,10,Roshi Jain,3.93,7.78,17.19,0.92,1.71,6,HDFC Mutual Fund,3,Equity,Focused Funds,16.0,35.8,11.9,21.085,1.2265852239674226,20.545,Mid (500–5K Cr),60.7127487980987,0,📈 High Return / Moderate Risk,72.1,True,34,37,124,True
HDFC Gilt Fund,100,100,0.46,1739.0,10,Anil Bamboli,0.43,0.23,2.78,0.64,0.34,3,HDFC Mutual Fund,2,Debt,Gilt Mutual Funds,3.6,4.9,6.4,5.315,1.9118705035971224,4.855,Mid (500–5K Cr),72.09214306049718,1,⭐ High Return / Low Risk,23.78,True,769,744,756,False
HDFC Gold Fund,100,100,0.18,1402.0,10,Nirman Morakhia,1.03,-0.5,14.19,1.01,0.47,5,HDFC Mutual Fund,5,Other,FoFs Domestic,14.2,12.3,13.4,13.175,0.9284707540521496,12.995,Mid (500–5K Cr),72.53939382954582,0,📈 High Return / Moderate Risk,39.61,True,397,302,722,False
HDFC Housing Opportunities Fund,100,100,1.28,1081.0,5,Rakesh Vyas,2.5,0.23,19.34,1.0,1.23,6,HDFC Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,9.8,27.1,7.9,15.0,0.7755946225439504,13.72,Mid (500–5K Cr),62.91395056631326,0,📈 High Return / Moderate Risk,45.42,True,298,210,471,False
HDFC Hybrid Debt Fund,100,100,1.33,2695.0,10,Shobhit Mehrotra,3.46,3.73,4.97,0.69,1.74,4,HDFC Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,6.0,13.3,8.4,9.635000000000002,1.9386317907444672,8.305000000000001,Mid (500–5K Cr),69.7726700076115,0,📈 High Return / Moderate Risk,35.36,True,494,461,113,False
HDFC Hybrid Equity Fund,100,100,1.09,18729.0,10,Chirag Setalvad,3.42,4.86,13.03,0.87,1.6,6,HDFC Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,7.7,25.6,11.3,15.585,1.196085955487337,14.495,Large (5K–20K Cr),64.02531669524949,0,📈 High Return / Moderate Risk,51.67,True,198,189,162,False
HDFC Income Fund,100,100,0.51,528.0,10,Shobhit Mehrotra,0.43,0.51,2.53,1.28,0.34,3,HDFC Mutual Fund,3,Debt,Medium to Long Duration Funds,3.8,5.2,6.1,5.325,2.1047430830039526,4.815,Mid (500–5K Cr),72.33431045424851,1,⭐ High Return / Low Risk,23.65,True,772,742,756,False
HDFC Index Fund,100,100,0.2,4210.0,10,Nirman Morakhia,3.48,-0.64,16.76,1.0,1.31,6,HDFC Mutual Fund,4,Other,Index Funds,2.4,25.8,12.8,15.27,0.9110978520286396,15.07,Mid (500–5K Cr),61.76928367362324,0,📈 High Return / Moderate Risk,56.54,True,125,198,375,False
HDFC Index Fund,100,100,0.2,7457.0,10,Nirman Morakhia,3.24,-1.01,17.02,1.01,1.28,6,HDFC Mutual Fund,3,Other,Index Funds,0.9,26.0,12.0,14.68,0.8625146886016452,14.48,Large (5K–20K Cr),60.91544237579592,0,📈 High Return / Moderate Risk,55.76,True,142,229,432,False
HDFC Infrastructure Fund,100,100,1.75,593.0,10,Rakesh Vyas,3.12,2.65,23.69,0.88,1.3,6,HDFC Mutual Fund,1,Equity,Sectoral / Thematic Mutual Funds,16.5,34.3,5.3,17.689999999999998,0.7467285774588432,15.939999999999998,Mid (500–5K Cr),58.8686962833372,0,📈 High Return / Moderate Risk,49.6,True,222,105,387,False
HDFC Large and Mid Cap Fund,100,100,1.03,7897.0,10,Gopal Agrawal,3.56,4.97,17.78,0.98,1.55,6,HDFC Mutual Fund,3,Equity,Large & Mid Cap Funds,6.3,33.3,12.8,18.675,1.0503374578177729,17.644999999999996,Large (5K–20K Cr),59.40137314834411,0,📈 High Return / Moderate Risk,60.38,True,96,87,195,False
HDFC Liquid Fund,300,5000,0.2,49008.0,10,Anupam Joshi,3.68,1.34,0.38,0.78,0.79,2,HDFC Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.3,5.3,5.01,13.18421052631579,4.81,Giant (>20K Cr),72.81264710240735,1,⭐ High Return / Low Risk,32.41,True,598,779,660,False
HDFC Low Duration Fund,100,100,0.43,14779.0,10,Anupam Joshi,3.31,2.82,1.11,0.67,1.73,2,HDFC Mutual Fund,4,Debt,Low Duration Funds,5.4,6.2,6.7,6.265000000000001,5.644144144144144,5.835000000000001,Large (5K–20K Cr),72.83758917853255,1,⭐ High Return / Low Risk,37.36,True,443,649,118,False
HDFC Medium Term Debt Fund,100,100,0.58,3538.0,10,Shobhit Mehrotra,1.34,2.14,2.33,0.78,1.01,4,HDFC Mutual Fund,3,Debt,Medium Duration Funds,4.1,6.9,7.4,6.565,2.817596566523605,5.984999999999999,Mid (500–5K Cr),71.71475682136888,1,⭐ High Return / Low Risk,30.66,True,644,590,566,False
HDFC Mid-Cap Opportunities Fund,100,100,0.95,35009.0,10,Chirag Setalvad,3.64,2.45,16.86,0.93,1.77,6,HDFC Mutual Fund,3,Equity,Mid Cap Mutual Funds,11.9,34.2,13.1,20.245,1.2007710557532625,19.295,Giant (>20K Cr),60.95047317631504,0,📈 High Return / Moderate Risk,63.65,True,64,53,98,False
HDFC Money Market Fund,100,100,0.21,15176.0,10,Vikas Agrawal,4.85,3.08,0.69,1.33,1.89,3,HDFC Mutual Fund,3,Debt,Money Market Funds,5.6,5.6,6.3,5.914999999999999,8.572463768115941,5.704999999999999,Large (5K–20K Cr),73.08918784253002,1,⭐ High Return / Low Risk,40.95,True,365,685,58,False
HDFC Multi-Asset Fund,100,100,0.88,1643.0,10,Srinivasan Ramamurthy,4.21,5.06,11.41,0.72,1.6,6,HDFC Mutual Fund,4,Hybrid,Multi Asset Allocation Mutual Funds,6.9,23.0,10.9,14.335,1.2563540753724804,13.455,Mid (500–5K Cr),65.11061270877617,0,📈 High Return / Moderate Risk,51.02,True,206,253,162,False
HDFC Overnight Fund,300,100,0.1,20146.0,10,Anil Bamboli,-0.53,0.53,0.35,0.42,-0.09,1,HDFC Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.8,4.6,4.459999999999999,12.74285714285714,4.359999999999999,Giant (>20K Cr),72.74277768101625,1,⭐ High Return / Low Risk,26.29,True,743,803,805,False
HDFC Retirement Savings Fund,100,100,0.78,2696.0,7,Srinivasan Ramamurthy,4.32,9.26,15.16,0.85,1.92,6,HDFC Mutual Fund,5,Solution Oriented,Retirement Funds,11.6,34.9,14.8,21.195,1.3980870712401057,20.415,Mid (500–5K Cr),60.86307834891722,0,📈 High Return / Moderate Risk,71.1,True,37,35,48,True
HDFC Retirement Savings Fund,100,100,1.03,932.0,7,Srinivasan Ramamurthy,3.27,3.03,3.23,0.43,1.88,6,HDFC Mutual Fund,4,Solution Oriented,Retirement Funds,8.0,24.5,12.3,15.71,4.863777089783281,14.68,Mid (500–5K Cr),64.93393274044396,0,📈 High Return / Moderate Risk,53.63,True,175,183,60,False
